Bulan,Harga_Penutupan
2023-01,8475.0
2023-02,8750.0
2023-03,8750.0
2023-04,9050.0
2023-05,9050.0
2023-06,9150.0
2023-07,9125.0
2023-08,9175.0
2023-09,8825.0
2023-10,8750.0
2023-11,8975.0
2023-12,9400.0
2024-01,9550.0
2024-02,9875.0
2024-03,10075.0
2024-04,9800.0
2024-05,9250.0
2024-06,9925.0
2024-07,10275.0
2024-08,10325.0
2024-09,10325.0
2024-10,10250.0
2024-11,10000.0
2024-12,9675.0
2025-01,9450.0
2025-02,8425.0
2025-03,8500.0
2025-04,8825.0
2025-05,9400.0
2025-06,8675.0
2025-07,8275.0
2025-08,8075.0
2025-09,7625.0
2025-10,8525.0
2025-11,8275.0
2025-12,8075.0
2026-01,7400.0
2026-02,7175.0
2026-03,6450.0
2026-04,5850.0
2026-05,5700.0
2026-06,5550.0
2026-07,6325.0
2026-08,6400.0
